Date received,Tag,Consumer Claim,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
08/30/2013,Bank account or service,,,WELLS FARGO & COMPANY,MI,39206,"Older American, Servicemember",,Phone,09/17/2013,Closed with explanation,Yes,No,511036
02/26/2018,"Credit reporting, credit repair services, or other personal consumer reports","All three major credit bureaus ' have illegally hoarded consumers personal information without this Consumers expressed written consent. Pursuant to the 1974 Privacy Act,  all 3 credit bureaus ' violated all privacy rights and allowed personal information to be leaked, due to their false and misleading ways. According to the Fair Debt Collection Practices Act, all three credit bureaus ' maliciously and collectively shared this Consumers personal information to make trillions of dollars, by selling it to various debt collectors, employers, financial institutions and a host of others. My wish is for the Federal Trade Commission to demand, on my behalf, that all 3 credit bureaus ' remaove all of this Consumers social security numbers, date of births, financial accounts, or credit/debit card numbers, drivers license numbers, detailed health, or medical history, or similar sensitive information. All relations with these 3 credit bureaus ' are now in question for reporting fraudulant information to disgrace this Consumer. Consumer wishes for damages of XXXX XXXX dollars, from all 3 credit bureaus ' for their Treasonous deeds and all will be forgiven. Consumer would also like to thank the CFPB.",,"EQUIFAX, INC.",PA,171XX,,Consent provided,Web,02/26/2018,Closed with explanation,Yes,,2826358
02/08/2018,Credit card or prepaid card,"Subject: RE: Credit Card Charge Disputed for XXXX Order XXXXGreetings,After examining the merchant and the amount on my credit card statement provided by Chase, I disputed a charge in the amount of $XXXX posted on XX/XX/2017 because neither I, nor anyone authorized, ordered, or signed for the merchandise. In addition, neither I nor anyone authorized received the merchandise represented by this transaction. I have been victimized and asked Chase to reissue a credit in the amount of $XXXX so wrongly incurred as soon as possible. I talked to someone on the phone previously from XXXX  and access to my account was restored after being locked out for three months due to the dispute.Chase position is that because the merchandise was billed to or shipped to your addressXXXX is claiming to have issued a refund and instructed to me to contact Chase. Chase is claiming that they have not received a refund and continues to bill the full amount plus interest and fees.If you have any questions or concerns, please do not hesitate to contact the undersigned. Thank you in advance for your time and assistance.XXXX",,JPMORGAN CHASE & CO.,MI,,Servicemember,Consent provided,Web,02/08/2018,Closed with explanation,Yes,,2808397
09/22/2018,Credit card or prepaid card,"XXXX credit card stop sending me monthly statements about my credit card more than a year ago and they started to charge me late fees of {$35.00} each month even though I was making monthly payment. 
when i opened the credit card with XXXX, I requested to receive the monthly paper statements only via postal mail. 
XXXX intentionally decided not to send me monthly paper statements so I will not know the due date and they can charge me late fees each month. 
XXXX knowingly engage in fraud by retain monthly statements in order to charge me late fees charges of {$35.00} each month. 
I have never authorized or agreed to receive monthly statement by any other mean than paper statements via postal mail. 

When realized that I was been charged monthly late fees for over a year, I asked Mr XXXX XXXX, the XXXX manager to remove all the late fees charges since I could not know when the monthly payment was due without a statement. He agreed that it was XXXX mistake and he could only refund XXXXne month out of more than twelve month. 
I told him that this was not a fair and satisfactory resolution for me and I decided to close my account with XXXX and told him that i will not paid the balance of {$940.00} until the fraudulent late fees are removed.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,MD,208XX,,Consent provided,Web,09/22/2018,Closed with monetary relief,Yes,,3026675
09/10/2018,Mortgage,,Company believes it acted appropriately as authorized by contract or law,Ditech Financial LLC,VA,23139,,Consent not provided,Web,09/11/2018,Closed with explanation,Yes,,3015506
12/16/2013,Mortgage,,,OCWEN LOAN SERVICING LLC,GA,30022,,,Postal mail,12/19/2013,Closed with explanation,Yes,No,635861
02/04/2019,"Credit reporting, credit repair services, or other personal consumer reports",,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,FL,338XX,,Other,Web,02/04/2019,Closed with non-monetary relief,Yes,,3142269
12/23/2014,Debt collection,,,"National Enterprise Systems, Inc.",FL,335XX,,,Web,12/23/2014,Closed with explanation,Yes,Yes,1169035
11/29/2017,Debt collection,"On XX/XX/XXXX I was reviewing my federal student loans, which are held by XXXX XXXX XXXX XXXX. I noticed that my interest rates had all increased - for instance, for my Direct Grad PLUS loan, my interest rates of 6.96 % had changed to 7.2 %. For my FFEL unsubsidized loan the interest rate had increased from 6.55 % to 6.96 % For my FFEL subsidized loan the interest rate increased from 5.35 to 5.59 %. The same can be said of my Direct loans, of which there are 10 tranches ( but I would be happy to outline the interest rates  and increases if needed ). 

On the same day, XX/XX/XXXX, I contacted my loan provider Great Lakes. I expressed my concern to the representative that my interest rates had increased at some point before XX/XX/XXXX and the last time I had checked my account, at the beginning of XX/XX/XXXX. The representative insisted that my loans were at a fixed-rate interest rate. I agreed, and said that the interest rates had increased regardless. She insisted this was not correct, but agreed to email me a copy of my original MPNs to indicate that the rates had not changed. 

After a day I had not received my MPNs from the loan provider. I found the MPNs myself through studentloans.gov and confirmed that the interest rates were what I had them documented as, instead of what Great Lakes was claiming them to be. I was going to call Great Lakes again, but I noticed online that the rates had been changed back to what they originally were supposed to be. 

I feel that Great Lakes is therefore exercising these practices with other people, who may not notice that their interest rates have increased. I 'm also fearful that they will try to increase the rates again, even though the loans are fixed-rate loans.",Company believes it acted appropriately as authorized by contract or law,GREAT LAKES,DC,200XX,,Consent provided,Web,11/29/2017,Closed with explanation,Yes,,2741598
03/12/2019,Mortgage,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"FLAGSTAR BANK, FSB",NV,890XX,,Consent not provided,Web,03/12/2019,Closed with explanation,Yes,,3176832
